":START_ID",":END_ID",":TYPE"
"0","3882","0"
"0","2102","0"
"0","3077","0"
"0","3040","0"
"0","3465","0"
"1","2900","0"
"1","3107","0"
"1","2719","0"
"2","3533","0"
"2","3273","0"
"2","2820","0"
"3","3369","0"
"3","3051","0"
"3","2553","0"
"4","2508","0"
"4","2922","0"
"4","3892","0"
"4","2674","0"
"5","3766","0"
"6","3494","0"
"6","3954","0"
"7","3027","0"
"7","2782","0"
"7","3467","0"
"7","2552","0"
"7","2003","0"
"8","2819","0"
"8","2996","0"
"9","2316","0"
"9","2413","0"
"10","2130","0"
"10","3961","0"
"10","3912","0"
"10","2053","0"
"11","2398","0"
"11","3900","0"
"11","3298","0"
"11","2789","0"
"11","3636","0"
"12","3772","0"
"12","2818","0"
"12","2902","0"
"12","2923","0"
"12","3259","0"
"13","2557","0"
"13","2981","0"
"13","3445","0"
"13","2686","0"
"13","3952","0"
"14","3055","0"
"14","3885","0"
"14","3911","0"
"15","2474","0"
"15","2966","0"
"15","3327","0"
"15","2188","0"
"15","3949","0"
"16","3364","0"
"16","2302","0"
"17","3869","0"
"17","2586","0"
"17","3020","0"
"18","3248","0"
"18","3511","0"
"18","3374","0"
"18","3378","0"
"18","2548","0"
"19","3796","0"
"19","3578","0"
"19","2124","0"
"20","3186","0"
"20","3847","0"
"20","3486","0"
"21","2476","0"
"21","3293","0"
"21","3250","0"
"22","2414","0"
"23","2350","0"
"23","2612","0"
"23","2409","0"
"23","2879","0"
"23","2721","0"
"24","3926","0"
"24","3780","0"
"24","3700","0"
"25","3443","0"
"25","3075","0"
"25","3062","0"
"26","2588","0"
"26","2387","0"
"26","2559","0"
"26","2259","0"
"27","3282","0"
"28","3996","0"
"28","2169","0"
"28","3609","0"
"28","3779","0"
"29","2455","0"
"29","3528","0"
"29","3212","0"
"30","2508","0"
"30","3631","0"
"31","2489","0"
"31","2697","0"
"31","2955","0"
"31","2504","0"
"31","2138","0"
"32","3129","0"
"32","2472","0"
"33","2799","0"
"33","3438","0"
"33","3022","0"
"34","2879","0"
"34","2895","0"
"34","2970","0"
"35","3114","0"
"35","3841","0"
"35","3753","0"
"35","2118","0"
"36","2859","0"
"36","2930","0"
"36","3523","0"
"37","2381","0"
"37","3343","0"
"37","2412","0"
"38","2117","0"
"38","3777","0"
"38","2040","0"
"39","3022","0"
"39","3296","0"
"39","2526","0"
"39","2429","0"
"40","2064","0"
"41","3840","0"
"42","3916","0"
"43","2628","0"
"44","3198","0"
"44","3871","0"
"44","3279","0"
"44","3970","0"
"44","2871","0"
"45","3658","0"
"45","3390","0"
"45","2116","0"
"45","3539","0"
"45","3284","0"
"46","2978","0"
"46","3092","0"
"47","2338","0"
"47","2419","0"
"47","2527","0"
"48","2444","0"
"48","3000","0"
"48","3609","0"
"48","2159","0"
"48","3970","0"
"49","3036","0"
"49","2769","0"
"49","3666","0"
"50","3459","0"
"50","3912","0"
"50","3610","0"
"50","2992","0"
"50","2426","0"
"51","3107","0"
"51","3724","0"
"52","2319","0"
"52","2077","0"
"53","2840","0"
"54","2820","0"
"54","3946","0"
"55","3247","0"
"56","2486","0"
"56","3893","0"
"56","3035","0"
"56","2776","0"
"56","3390","0"
"57","2903","0"
"57","2201","0"
"57","2378","0"
"58","3487","0"
"58","3356","0"
"58","2862","0"
"58","2526","0"
"58","2173","0"
"59","3240","0"
"59","2091","0"
"59","3219","0"
"59","3195","0"
"59","3102","0"
"60","3575","0"
"60","3493","0"
"60","3491","0"
"61","3664","0"
"61","2375","0"
"61","2833","0"
"61","3428","0"
"62","2951","0"
"62","2486","0"
"62","2876","0"
"62","3322","0"
"62","3672","0"
"63","3927","0"
"63","2067","0"
"63","3880","0"
"63","3305","0"
"63","2889","0"
"64","2684","0"
"64","2218","0"
"65","3988","0"
"65","2197","0"
"65","3453","0"
"65","3073","0"
"65","2227","0"
"66","3904","0"
"66","3772","0"
"66","3779","0"
"66","2520","0"
"66","2556","0"
"67","3158","0"
"67","2114","0"
"67","3856","0"
"67","3344","0"
"67","3038","0"
"68","2455","0"
"68","3812","0"
"68","3727","0"
"68","2064","0"
"69","2248","0"
"69","3044","0"
"70","2298","0"
"70","3657","0"
"70","2007","0"
"71","3113","0"
"71","3747","0"
"71","2675","0"
"71","2509","0"
"72","2563","0"
"73","3167","0"
"74","3902","0"
"74","2965","0"
"74","3384","0"
"74","2040","0"
"75","3012","0"
"75","3450","0"
"75","2849","0"
"75","3734","0"
"76","3199","0"
"76","2344","0"
"76","3592","0"
"76","3240","0"
"77","2216","0"
"77","3340","0"
"77","3594","0"
"78","3577","0"
"78","3217","0"
"78","2187","0"
"78","2886","0"
"79","3155","0"
"79","3765","0"
"79","2734","0"
"79","2624","0"
"80","3464","0"
"81","3657","0"
"82","2491","0"
"82","3833","0"
"82","2059","0"
"82","2851","0"
"82","3120","0"
"83","3723","0"
"83","2585","0"
"83","2572","0"
"84","3518","0"
"84","2426","0"
"84","2110","0"
"85","3378","0"
"85","2507","0"
"85","3646","0"
"85","2480","0"
"85","2315","0"
"86","3705","0"
"87","2025","0"
"87","3802","0"
"87","2212","0"
"88","3290","0"
"88","2501","0"
"88","2027","0"
"88","3217","0"
"89","2135","0"
"90","3185","0"
"90","3382","0"
"90","3006","0"
"91","2230","0"
"91","2454","0"
"91","2477","0"
"91","3587","0"
"91","2007","0"
"92","2094","0"
"92","3378","0"
"92","3994","0"
"93","2564","0"
"93","2267","0"
"94","2913","0"
"94","3130","0"
"94","3189","0"
"94","2894","0"
"94","3150","0"
"95","3851","0"
"95","2055","0"
"95","2425","0"
"95","2916","0"
"96","2525","0"
"96","2650","0"
"96","2143","0"
"96","3664","0"
"97","3795","0"
"97","2897","0"
"98","2513","0"
"98","2795","0"
"98","3520","0"
"98","2488","0"
"98","3715","0"
"99","2348","0"
"99","2129","0"
"100","2328","0"
"100","3664","0"
"100","2924","0"
"101","3095","0"
"101","3209","0"
"102","2600","0"
"102","3887","0"
"102","2236","0"
"102","3934","0"
"102","2439","0"
"103","2807","0"
"103","2456","0"
"103","3238","0"
"104","2565","0"
"104","3116","0"
"104","2385","0"
"104","3807","0"
"104","3313","0"
"105","3637","0"
"105","2669","0"
"105","2472","0"
"105","3267","0"
"105","2689","0"
"106","3200","0"
"106","3058","0"
"106","2326","0"
"106","2024","0"
"106","3788","0"
"107","2974","0"
"107","3295","0"
"107","2977","0"
"107","3594","0"
"108","3198","0"
"108","3379","0"
"108","2562","0"
"109","2195","0"
"109","2852","0"
"109","3616","0"
"109","3089","0"
"110","3143","0"
"111","2855","0"
"111","2663","0"
"111","3624","0"
"112","3970","0"
"113","3342","0"
"113","3976","0"
"113","3405","0"
"114","2769","0"
"114","2826","0"
"115","2032","0"
"116","3494","0"
"116","2453","0"
"116","3019","0"
"116","3761","0"
"117","3446","0"
"118","3399","0"
"118","2389","0"
"118","3706","0"
"118","3237","0"
"119","3479","0"
"120","3722","0"
"121","3109","0"
"121","3518","0"
"121","3207","0"
"121","3937","0"
"122","3944","0"
"122","3405","0"
"122","3347","0"
"122","2301","0"
"123","2486","0"
"123","2234","0"
"123","3700","0"
"123","3765","0"
"124","3829","0"
"125","2177","0"
"125","3285","0"
"125","3882","0"
"125","3279","0"
"125","2241","0"
"126","3975","0"
"126","3696","0"
"126","3338","0"
"127","3302","0"
"127","2665","0"
"128","3733","0"
"128","2044","0"
"128","2368","0"
"128","2065","0"
"128","2268","0"
"129","3220","0"
"129","3538","0"
"130","3345","0"
"130","2024","0"
"130","2230","0"
"131","2273","0"
"131","3276","0"
"132","2441","0"
"132","2268","0"
"133","3200","0"
"133","3585","0"
"134","3712","0"
"134","2461","0"
"134","3516","0"
"134","3297","0"
"135","3938","0"
"135","3733","0"
"135","3760","0"
"136","2436","0"
"136","3837","0"
"137","2909","0"
"138","2144","0"
"139","3165","0"
"140","3199","0"
"141","2373","0"
"141","2496","0"
"141","3089","0"
"141","3828","0"
"141","3038","0"
"142","2072","0"
"142","3918","0"
"143","2386","0"
"143","2142","0"
"143","2786","0"
"143","3787","0"
"143","2095","0"
"144","3758","0"
"144","2136","0"
"144","3673","0"
"145","3591","0"
"145","3722","0"
"145","3729","0"
"146","3429","0"
"146","3469","0"
"146","2523","0"
"147","2092","0"
"148","2565","0"
"148","3351","0"
"148","3560","0"
"148","3208","0"
"148","2089","0"
"149","3283","0"
"149","2320","0"
"150","3251","0"
"150","3987","0"
"150","2007","0"
"151","2492","0"
"151","2762","0"
"151","3875","0"
"151","3655","0"
"152","2408","0"
"153","2399","0"
"153","2539","0"
"153","2405","0"
"154","2417","0"
"155","3174","0"
"155","3646","0"
"155","2156","0"
"155","3732","0"
"156","2094","0"
"156","2135","0"
"156","3274","0"
"156","3386","0"
"156","3771","0"
"157","3959","0"
"158","2321","0"
"158","3886","0"
"158","3963","0"
"159","3276","0"
"159","3679","0"
"159","3683","0"
"159","2817","0"
"159","2871","0"
"160","2825","0"
"161","2710","0"
"161","2556","0"
"161","3039","0"
"161","2467","0"
"162","2172","0"
"162","3692","0"
"162","2233","0"
"163","3236","0"
"163","3870","0"
"163","2816","0"
"163","2433","0"
"163","3753","0"
"164","2086","0"
"165","3176","0"
"165","3060","0"
"165","3611","0"
"165","2925","0"
"165","3649","0"
"166","2542","0"
"166","2987","0"
"166","3415","0"
"166","2412","0"
"166","2782","0"
"167","2201","0"
"167","3413","0"
"167","3409","0"
"167","3009","0"
"168","2465","0"
"168","3127","0"
"168","2260","0"
"168","3836","0"
"169","3482","0"
"169","2381","0"
"169","3930","0"
"169","2989","0"
"170","3385","0"
"170","3571","0"
"170","3858","0"
"171","3068","0"
"172","2189","0"
"172","2003","0"
"172","2950","0"
"173","2962","0"
"173","3513","0"
"174","3637","0"
"175","3909","0"
"175","2378","0"
"175","3834","0"
"175","3377","0"
"175","3219","0"
"176","3460","0"
"176","2184","0"
"176","2302","0"
"177","2558","0"
"177","3453","0"
"178","2733","0"
"178","3715","0"
"179","3469","0"
"179","3710","0"
"179","3354","0"
"179","3845","0"
"180","3474","0"
"180","2231","0"
"180","2294","0"
"180","3010","0"
"181","2910","0"
"181","3538","0"
"182","2575","0"
"182","3396","0"
"182","2520","0"
"182","2369","0"
"182","3982","0"
"183","3090","0"
"183","3242","0"
"183","2974","0"
"183","3669","0"
"183","3978","0"
"184","3974","0"
"184","2409","0"
"184","2584","0"
"185","2017","0"
"185","2684","0"
"185","3983","0"
"185","2503","0"
"185","3668","0"
"186","3786","0"
"187","3596","0"
"187","2779","0"
"187","3612","0"
"187","3501","0"
"188","3679","0"
"188","2394","0"
"188","2156","0"
"188","3697","0"
"189","2359","0"
"189","3436","0"
"189","2098","0"
"190","3795","0"
